proteinID,domainID,domainDescription,domainStart,domainEnd
A0A061FSD3,PF00433,Protein kinase C-terminal,437,473
A0A061FV50,PF01422,Zinc finger NF-X1-type,222,237
A0A061FV74,PF02466,Mitochondrial inner membrane translocase subunit Tim17/Tim22/Tim23/peroxisomal protein PMP24,22,152
A0A061G7M5,PF13855,Leucine-rich repeat,537,594
A0A061G8V6,PF00481,PPM-type phosphatase domain,96,334
A0A061G9B1,PF05199,Glucose-methanol-choline oxidoreductase C-terminal,399,539
A0A061GBF6,mobidb-lite,disorder_prediction,74,95
A0A061GEF8,PF00560,Leucine-rich repeat,476,498
A0A061GIR3,mobidb-lite,disorder_prediction,1,22
A0A061GJ69,PF04051,Transport protein particle (TRAPP) component,30,182
A0A061GKL1,mobidb-lite,disorder_prediction,605,738
A0A061GNB3,mobidb-lite,disorder_prediction,319,349
A0A061GQ14,PF14226,Non-haem dioxygenase N-terminal domain,411,517
A0A061GS33,PF13520,Amino acid/polyamine transporter I,66,446
A0A061GWZ3,mobidb-lite,disorder_prediction,197,248
A0A061HTE0,PF00621,Dbl homology (DH) domain,1,180
A0A061HUL1,PF00630,Filamin/ABP280 repeat-like,2238,2321
A0A061HV17,PF00632,HECT domain,4035,4339
A0A061I014,PF02881,Signal recognition particle SRP54 subunit helical bundle,6,83
A0A061I034,PF02149,Kinase associated domain 1 (KA1),708,750
A0A061I2B2,PF01582,Toll/interleukin-1 receptor homology (TIR) domain,737,898
A0A061IAE1,PF04727,ELMO domain,292,468
A0A061IB93,mobidb-lite,disorder_prediction,1,36
A0A061IDS8,PF01753,Zinc finger MYND-type,476,503
A0A061IHJ9,mobidb-lite,disorder_prediction,367,387
A0A061IJQ1,PF00400,WD40 repeat,125,161
A0A061IMB3,PF02891,Zinc finger MIZ-type,564,612
A0A061IP63,CoiledCoil,Macrophage scavenger receptor types I and II OS=Cricetulus griseus GN=H671_1g2317 PE=4 SV=1,245,266
A0A061QLK9,mobidb-lite,disorder_prediction,1249,1274
A0A061QUT3,mobidb-lite,disorder_prediction,493,550
A0A061RFH3,PF00118,Chaperonin Cpn60/TCP-1 family,25,99
A0A061RM56,mobidb-lite,disorder_prediction,112,207
A0A061RVB2,PF00685,Sulfotransferase domain,45,213
A0A061RXB0,PF07717,Domain of unknown function DUF1605,1042,1133
A0A061S8M4,PF00465,Alcohol dehydrogenase iron-type,380,771
A0A061SB02,mobidb-lite,disorder_prediction,383,408
A0A061SGE8,PF04755,Plastid lipid-associated protein/fibrillin conserved domain,1310,1525
A0A061SH24,mobidb-lite,disorder_prediction,144,214
A0A061SN67,PF01813,ATPase V1 complex subunit D,16,209
A0A063C3W4,PF01231,Indoleamine 23-dioxygenase,191,599
A0A063C8X1,PF00071,Small GTPase superfamily,36,183
A0A063CBL9,PF00888,Cullin N-terminal,2911,3550
A0A063CC32,PF06814,Lung seven transmembrane receptor-like,145,433
A0A066X4Z8,mobidb-lite,disorder_prediction,463,494
A0A066X7L3,PF01040,UbiA prenyltransferase family,118,372
A0A066XBR1,PF03184,DDE superfamily endonuclease domain,202,370
A0A066XFV6,PF01061,ABC-2 type transporter,1131,1338
A0A066XIL3,PF00106,Short-chain dehydrogenase/reductase SDR,316,496
A0A067DFS1,PF13041,Pentatricopeptide repeat,245,292
A0A067DI87,PF08100,Plant methyltransferase dimerisation,1,41
A0A067DIZ3,PF08774,VRR-NUC domain,775,841
A0A067DJF1,PF08389,Exportin-1/Importin-beta-like,15,158
A0A067DK06,PF01535,Pentatricopeptide repeat,196,216
A0A067DL66,PF01535,Pentatricopeptide repeat,53,82
A0A067DLT9,PF00612,IQ motif EF-hand binding site,737,755
A0A067E1Z2,PF05553,Protein of unknown function DUF761 plant,55,70
A0A067E2Y2,PF13952,Domain of unknown function DUF4216,84,151
A0A067EP44,PF00400,WD40 repeat,227,262
A0A067F4U9,PF08263,Leucine-rich repeat-containing N-terminal plant-type,8,40
A0A067FAV5,PF04083,Partial AB-hydrolase lipase domain,257,311
A0A067FDU5,mobidb-lite,disorder_prediction,1,68
A0A067FIJ9,PF03109,UbiB domain,4,99
A0A067FKU9,PF01490,Amino acid transporter transmembrane domain,159,391
A0A067FQ94,mobidb-lite,disorder_prediction,336,420
A0A067FYB6,PF09532,FDF domain,357,457
A0A067G5X0,mobidb-lite,disorder_prediction,3305,3461
A0A067G6A9,PF00719,Inorganic pyrophosphatase,53,173
A0A067G9W9,PF02005,tRNA methyltransferase Trm1,11,468
A0A067GF16,PF09139,Mitochondrial matrix Mmp37,41,355
A0A067GFU1,PF03619,Organic solute transporter subunit alpha/Transmembrane protein 184,8,166
A0A067GPH1,mobidb-lite,disorder_prediction,127,191
A0A067H7Y6,mobidb-lite,disorder_prediction,34,53
A0A067JBM6,mobidb-lite,disorder_prediction,310,380
A0A067JQG5,PF00240,Ubiquitin domain,79,150
A0A067JVA7,PF00989,PAS fold,768,887
A0A067K3M0,PF00612,IQ motif EF-hand binding site,56,75
A0A067K602,mobidb-lite,disorder_prediction,1,50
A0A067KKT6,PF01535,Pentatricopeptide repeat,149,175
A0A067KR17,PF13855,Leucine-rich repeat,559,617
A0A067KUK4,mobidb-lite,disorder_prediction,141,208
A0A067LB40,PF00847,AP2/ERF domain,19,69
A0A067QN46,mobidb-lite,disorder_prediction,1,157
A0A067QT63,mobidb-lite,disorder_prediction,218,257
A0A067QV25,PF01344,Kelch repeat type 1,401,445
A0A067R2T3,PF02437,Transforming protein Ski,71,178
A0A067R6R8,mobidb-lite,disorder_prediction,104,225
A0A067R7W8,PF00595,PDZ domain,41,105
A0A067RBH5,PF15391,Domain of unknown function DUF4614,60,241
A0A067RF88,mobidb-lite,disorder_prediction,548,567
A0A067RFV2,mobidb-lite,disorder_prediction,189,221
A0A067RMA2,PF16086,Protein of unknown function DUF4816,602,630
A0A067RWI8,mobidb-lite,disorder_prediction,684,720
A0A067XQH9,PF01824,Maturase MatK N-terminal domain,1,334
A0A067YIW5,PF04563,RNA polymerase beta subunit protrusion,6,53
A0A067YZZ3,PF06444,NADH dehydrogenase subunit 2 C-terminal,290,343
A0A067Z7S9,PF13833,EF-hand domain,5,46
A0A068FBN5,PF00060,Ionotropic glutamate receptor,357,628
A0A068TRC5,PF01535,Pentatricopeptide repeat,494,517
A0A068TUV7,CoiledCoil,Uncharacterized protein OS=Coffea canephora GN=GSCOC_T00029511001 PE=4 SV=1,442,463
A0A068TVS9,PF04667,Endosulphine,50,120
A0A068TXJ1,PF00847,AP2/ERF domain,124,172
A0A068U1C8,mobidb-lite,disorder_prediction,453,492
A0A068U4G0,PF00076,RNA recognition motif domain,94,152
A0A068U6Z6,mobidb-lite,disorder_prediction,62,90
A0A068UCW3,mobidb-lite,disorder_prediction,161,210
A0A068UF69,PF07765,Protein Networked (NET) actin-binding (NAB) domain,14,87
A0A068UQJ2,PF00933,Glycoside hydrolase family 3 N-terminal,37,241
A0A068URS7,PF00076,RNA recognition motif domain,15,89
A0A068USH8,mobidb-lite,disorder_prediction,1,24
A0A068UUZ0,mobidb-lite,disorder_prediction,297,358
A0A068UZQ0,PF00005,ABC transporter-like,102,252
A0A068V3V9,mobidb-lite,disorder_prediction,1,38
A0A068VJF7,PF00664,ABC transporter type 1 transmembrane domain,2,193
A0A068VJK0,PF07714,Serine-threonine/tyrosine-protein kinase catalytic domain,73,343
A0A068VK84,PF00931,NB-ARC,168,448
A0A068WF44,mobidb-lite,disorder_prediction,295,327
A0A068WGF6,PF02290,Signal recognition particle SRP14 subunit,3,96
A0A068WNM9,PF03901,GPI mannosyltransferase,12,427
A0A068WS33,PF13889,Protein FAM214/SPAC3H8.04 C-terminal,629,685
A0A068WX54,mobidb-lite,disorder_prediction,474,517
A0A068WY63,mobidb-lite,disorder_prediction,801,826
A0A068X4F1,PF00571,CBS domain,366,417
A0A068X732,mobidb-lite,disorder_prediction,1420,1443
A0A068X8F4,mobidb-lite,disorder_prediction,355,399
A0A068XKF6,mobidb-lite,disorder_prediction,1,31
A0A068XMJ4,PF00028,Cadherin,306,398
A0A068XS64,PF04560,RNA polymerase Rpb2 domain 7,1066,1185
A0A068Y1F4,PF00155,Aminotransferase class I/classII,165,509
A0A068Y4E0,mobidb-lite,disorder_prediction,215,235
A0A068YCR0,mobidb-lite,disorder_prediction,1225,1304
A0A069DZ75,mobidb-lite,disorder_prediction,1,25
A0A069DZS6,PF00373,FERM central domain,93,203
A0A072TKG8,PF00016,Ribulose bisphosphate carboxylase large subunit C-terminal,154,462
A0A072UTM8,PF02095,Repetitive proline-rich cell wall protein repeat,98,103
A0A072V2Y3,PF00497,Solute-binding protein  family 3/N-terminal domain of MltF,489,754
A0A072VCB2,PF07899,Frigida-like,456,588
A0A072VCB7,mobidb-lite,disorder_prediction,61,94
A0A072VD00,PF06507,Auxin response factor,177,259
A0A072VEN8,PF07714,Serine-threonine/tyrosine-protein kinase catalytic domain,360,625
A0A072VIQ7,PF16488,Argonaute linker 2 domain,91,135
A0A072VPD9,PF01846,FF domain,489,538
A0A072VWM9,PF03357,Snf7 family,481,649
A0A074SVP7,mobidb-lite,disorder_prediction,360,396
A0A074T061,mobidb-lite,disorder_prediction,5118,5138
A0A074T248,mobidb-lite,disorder_prediction,836,955
A0A074T902,mobidb-lite,disorder_prediction,1527,1546
A0A074TB92,mobidb-lite,disorder_prediction,477,506
A0A074TDF8,PF00288,GHMP kinase N-terminal domain,435,498
A0A074TPT7,PF04114,GPI transamidase component Gaa1,314,537
A0A074YVQ2,PF00667,FAD-binding type 1,1,75
A0A074Z537,PF03997,Vacuolar protein sorting-associated VPS28,165,337
A0A074ZF37,PF03259,Roadblock/LAMTOR2 domain,17,100
A0A074ZQU8,mobidb-lite,disorder_prediction,1408,1434
A0A074ZXP4,PF00169,Pleckstrin homology domain,216,296
A0A075A0K6,mobidb-lite,disorder_prediction,1,20
A0A075A1L1,PF00090,Thrombospondin type-1 (TSP1) repeat,3435,3486
A0A075A1S6,CoiledCoil,Uncharacterized protein (Fragment) OS=Opisthorchis viverrini GN=T265_12571 PE=4 SV=1,1080,1129
A0A075A4A2,PF00004,ATPase AAA-type core,545,657
A0A075A631,mobidb-lite,disorder_prediction,982,1019
A0A075A990,PF01546,Peptidase M20,89,175
A0A075ADH6,mobidb-lite,disorder_prediction,1147,1189
A0A075AHD3,mobidb-lite,disorder_prediction,18,44
A0A075B9P2,PF00115,Cytochrome c oxidase subunit I,2,220
A0A075BDQ9,PF04565,RNA polymerase Rpb2 domain 3,380,448
A0A075BEG6,PF01084,Ribosomal protein S18,54,102
A0A075BJX3,PF03143,Translation elongation factor EFTu/EF1A C-terminal,222,298
A0A075CXE2,PF00115,Cytochrome c oxidase subunit I,2,165
A0A075D534,PF00510,Cytochrome c oxidase-like subunit III,7,263
A0A075EDD2,PF00115,Cytochrome c oxidase subunit I,1,231
A0A075IJB9,PF03547,Membrane transport protein,57,105
A0A075IPG5,PF01348,Domain X,213,274
A0A075Q4K6,PF00243,Nerve growth factor-related,121,229
A0A075QX38,PF02790,Cytochrome C oxidase subunit II transmembrane domain,1,83
A0A075TS06,PF03089,V-D-J recombination activating protein 2,1,162
A0A075VYV9,PF02823,ATP synthase F1 complex delta/epsilon subunit N-terminal,3,82
A0A076G405,PF00125,Histone H2A/H2B/H3,2,110
A0A076GY79,PF00421,Photosystem antenna protein-like,1,393
A0A076JNL6,PF00115,Cytochrome c oxidase subunit I,2,219
A0A076JS03,PF00361,NADH:quinone oxidoreductase/Mrp antiporter membrane subunit,101,385
A0A076KUX2,PF00022,Actin family,1,184
A0A076V9R4,PF00115,Cytochrome c oxidase subunit I,2,219
A0A077B3J7,PF01058,NADH:ubiquinone oxidoreductase-like 20kDa subunit,25,109
A0A077B9V8,PF00115,Cytochrome c oxidase subunit I,4,228
A0A077CZ66,PF04983,RNA polymerase Rpb1 domain 3,316,475
A0A077CZ96,PF07654,Immunoglobulin C1-set,212,279
A0A077D2A4,PF00129,MHC class I-like antigen recognition-like,21,198
A0A077D8A6,PF02787,Carbamoyl-phosphate synthetase large subunit oligomerisation domain,69,190
A0A077DEQ6,PF02790,Cytochrome C oxidase subunit II transmembrane domain,1,83
A0A077GV73,PF00115,Cytochrome c oxidase subunit I,2,429
A0A077RVL4,LowComplexity,Uncharacterized protein OS=Triticum aestivum GN=TRAES_3BF056800110CFD_c1 PE=3 SV=1,4,17
A0A077RVU7,PF12796,Ankyrin repeat-containing domain,91,151
A0A077RVW1,PF00560,Leucine-rich repeat,89,109
A0A077RWP0,mobidb-lite,disorder_prediction,27,197
A0A077WA01,PF16879,Sin3 C-terminal,974,1170
A0A077WBU6,mobidb-lite,disorder_prediction,1,82
